"phenotype_name","phenotype_number","phenotype_name_short","numObs","numParams","observedStatistics","degreesOfFreedom","AIC","BIC","fit","statusCode","genetic_model","CD_meaning","H2_meaning","twin_correlations","twin_corr_rMZ","twin_corr_rDZ","A","A_CiL","A_CiH","A_deltaAIC","A_p","CD","CD_CiL","CD_CiH","CD_deltaAIC","CD_p","E","E_CiL","E_CiH","E_deltaAIC","E_p","h2","h2_CiL","h2_CiH","cd2","cd2_CiL","cd2_CiH","H2","H2_CiL","H2_CiH","e2","e2_CiL","e2_CiH","rh2","rh2_CiL","rh2_CiH","rcd2","rcd2_CiL","rcd2_CiH","rH2","rH2_CiL","rH2_CiH","re2","re2_CiL","re2_CiH","rerr2","rerr2_CiL","rerr2_CiH","rreliability","rreliability_CiL","rreliability_CiH","Comments","rMZ","rDZ","classic_h2"
"oralCavity_OCHW_intercanHeight_intercanDist_HWRatio",89,"OCHW",340,9,1253,1244,878.018980034325,-3885.18936827277,3366.01898003433,"OK","ACE","C","familiality","corrected",0.52816921091183,0.430540921840636,0.0742149461376474,0,0.289815373954964,-1.79401479579974,0.649932525564576,0.126536531499505,0,0.272731662680787,-1.34192144583358,0.417239106537561,0.179338043226419,NA,0.276769009251672,18.8153272304103,5.05765798095701e-06,0.195256491073549,1.99989753318259e-25,0.722840704043626,0.332912444447327,3.74942478806419e-38,0.678350497504653,0.528168935520876,0.320939798560554,0.727523194951224,0.471831064479124,0.272476805206731,0.679060201401567,0.0776844649456902,NA,0.291182906728521,0.132452063326851,1.44825460730986e-26,0.273643387446414,0.210136528272541,0.130065931177691,0.293442016929001,0.187722024437126,0.101908164207897,0.284282443044218,0.602141447290332,0.536245041223332,0.672117166592102,0.397858552709667,0.327882833432955,0.46375495885344,"OK",0.216538168044607,0.152506501425844,0.128063333237526
"oralCavity_OCLW_intercanDist_intercanHPADist_WLRatio",95,"OCLW",340,9,1245,1236,968.306275131445,-3764.27050823477,3440.30627513144,"OK","ACE","C","familiality","corrected",0.222216597963107,0.116420316517695,0.0590134391477359,2.68877694011405e-42,0.142373525276417,-1.901177563278,0.753247358356142,0.00296615598233088,NA,0.130614822929164,-1.99971293750968,0.986482153590391,0.216942551050661,NA,0.329428112573583,20.6809169551634,1.91257894045221e-06,0.211576742671047,NA,0.50155822214271,0.0106343509217406,NA,0.0106343509217406,0.222211093592787,NA,0.501340354830424,0.777788906407213,0.498659645408406,NA,0.060819823898981,NA,0.143513344692897,0.00305694918153562,NA,0.131616973426256,0.0638767730805166,NA,0.143658324365492,0.223583101436702,0.125927413782706,0.331098957648548,0.712540125482781,0.64163447503629,0.786789344765924,0.287459874517219,0.213210655171388,0.358365524887879,"OK",0.0855969538416606,0.0772519127696282,0.0166900821440648
"oralCavity_OCMR_intercanDist_interM2Dist_ratio",99,"OCMR",340,9,1253,1244,855.692878830491,-3907.51546947661,3343.69287883049,"OK","ACE","C","familiality","corrected",0.533749929335351,0.39033573183646,0.129010426211423,0,0.338825618249709,-1.52749862271185,0.491838663220364,0.111060384391709,0,0.313909723811245,-1.64335819404505,0.550377231734685,0.209709671863461,NA,0.308653330223801,29.5361552049094,1.95761139831545e-08,0.286829756382337,1.63859094381331e-30,0.700970682354407,0.246921306550819,8.18199823424522e-33,0.65200202361208,0.533751062933155,0.344260959192721,0.702721010005225,0.466248937066845,0.297278990071242,0.655739038975725,0.132328144192825,2.41028317079959e-40,0.330580102660338,0.113916487151294,6.03792878840972e-33,0.306948427113409,0.246244631344119,0.156878346892358,0.331610774603835,0.21510270535422,0.131657031874866,0.311050870819642,0.538652663301661,0.476626033228463,0.604869530969948,0.461347336698339,0.395130469040682,0.523373972614259,"OK",0.261851624774009,0.104565456659338,0.314572336229342
"oralCavity_OCPR_intercanDist_interPM2Dist_ratio",98,"OCPR",340,9,1256,1247,842.822029094046,-3931.87315606588,3336.82202909405,"OK","ADE","D","broad sense heritability","corrected",0.411416767368644,0.170162992147044,0.137791047386478,2.77202899205829e-42,0.307333808258526,-1.91108131225837,0.765556347194346,0.0727681048593907,0,0.309322576595568,-1.97496742343492,0.874285914301924,0.301229808776681,0.212144653449939,0.408755208800131,61.8415530005136,1.34839266523539e-15,0.269234113825301,2.13085983532355e-38,0.563704717792184,0.142183810909092,NA,0.567585507670835,0.411417924734393,0.240484879123091,0.567534547244928,0.588582075265607,0.4324654531522,0.75951514390845,0.139248715217451,3.57092153953887e-35,0.297023338701605,0.073537906146095,4.30219254677449e-29,0.298637122687934,0.212786621363547,0.123156549993127,0.298576895576064,0.304416467201249,0.219104694854936,0.40246690582028,0.482796911435205,0.426446441750707,0.544203412034593,0.517203088564795,0.455796588339554,0.573553558257786,"OK",0.244387301709892,0.0456632746894595,0.397448054040864
"oralCavity_OMHL_interM2Height_interM2HPADist_HLRatio",94,"OMHL",340,9,1245,1236,868.420112132575,-3864.15667123364,3340.42011213258,"OK","ACE","C","familiality","corrected",0.408257489131908,0.260148608145825,0.118843076320237,0,0.252880478910327,-1.60734510545626,0.530907167440946,0.0449506749210238,NA,0.231165439958025,-1.93914292009686,0.805146383358917,0.237408693233059,NA,0.34086775017899,34.1402891207617,1.8361117581273e-09,0.296217228875444,NA,0.597323993146586,0.112039882957146,4.73828243841412e-43,0.547330878937038,0.40825711183259,0.207613125074356,0.597292793793479,0.59174288816741,0.402707206167255,0.792386876121413,0.124531122026703,1.90321440905796e-38,0.254822194893199,0.0471020959495262,NA,0.233404981428645,0.171633217976229,0.088959551278363,0.254920392827064,0.248771504934291,0.159237084929354,0.348344259840941,0.579595277089479,0.514739798731652,0.648631680790241,0.420404722910521,0.351368319204085,0.485260200683633,"OK",0.251946398002072,0.110436280735471,0.283020234533203
"oralCavity_OMHW_interM2Height_interM2Dist_HWRatio",91,"OMHW",340,9,1247,1238,843.636694862307,-3896.59797973913,3319.63669486231,"OK","ACE","C","familiality","corrected",0.473232114209339,0.322372788921909,0.142454137217171,3.19295511022152e-43,0.318109572696063,-1.54720524540471,0.501010749291199,0.0809807508202124,1.50029650228369e-41,0.298170740875458,-1.85609878608011,0.704433072110199,0.248712537741666,NA,0.348649819586384,43.2357681684789,1.74685360351792e-11,0.301715374137897,1.57625180480453e-25,0.630968075338054,0.171515815609061,1.52864550715604e-40,0.591172155516657,0.473231189746958,0.300680201978892,0.630587700124446,0.526768810253042,0.369412299316207,0.699319797938421,0.145874525319369,2.10661120857068e-27,0.310476166629858,0.0829251351815475,9.97422812072171e-38,0.291618877130029,0.228799660500917,0.14541214132568,0.310697478782751,0.25468423797851,0.171283418274911,0.348408599297905,0.516516101520573,0.456059840641528,0.582176685295729,0.483483898479427,0.417823314759305,0.54394015931142,"OK",0.270335813891645,0.171858636895778,0.196954353991733
"oralCavity_OMLW_interM2Dist_interM2HPADist_WLRatio",97,"OMLW",340,9,1254,1245,392.228632586975,-4374.80866133773,2882.22863258698,"OK","ACE","C","familiality","corrected",0.618609923543405,0.571738092165357,0.0474346842351567,NA,0.356760312257917,-1.87901845633587,0.727972354990816,0.26558550967679,6.86624658411382e-43,0.394382054338058,1.18402330839808,0.07436142343004,0.192985525159067,0.135649013731388,0.260928749005439,64.3898560257771,3.70001360086872e-16,0.0937433757117271,1.32500953877062e-30,0.682914409872389,0.524866616457189,2.52870207601255e-38,0.709058126096865,0.618609992168916,0.493567213499462,0.728916135850403,0.381390007831084,0.271083864357971,0.506432790055706,0.0594214543816265,1.48737875453266e-31,0.436098184258904,0.33269911041136,2.44749091558634e-24,0.459294672432105,0.392120564792987,0.307497716550184,0.471748802346835,0.241753070869069,0.1704469188016,0.322878264849338,0.366126364337945,0.318945403838319,0.418238443111712,0.633873635662055,0.581761556920319,0.68105459615502,"OK",0.541383458921448,0.337804270077897,0.407158377687103
"oralCavity_OPHL_interPM2Height_interPM2HPADist_HLRatio",93,"OPHL",340,9,1250,1241,946.912025257359,-3804.80948619691,3428.91202525736,"OK","ACE","C","familiality","corrected",0.465292128146002,0.355686615695244,0.082817421426946,0,0.263612848346419,-1.85002268158314,0.698557034575518,0.0929698288113059,0,0.25274159576941,-1.81030444762746,0.663170127473091,0.202011747025405,NA,0.304029927721805,22.1419440463146,8.94897392452135e-07,0.21921027325848,7.25648774889871e-29,0.666380312989984,0.246082783397184,NA,0.635309511107684,0.465293056655664,0.255201601650607,0.666874698997631,0.534706943344336,0.333125301484951,0.744798380592213,0.0831133249316554,NA,0.254725088082577,0.0933020064824228,9.66586527447239e-31,0.243804601404675,0.176415331414078,0.0966906563689498,0.255168253593768,0.202733527333309,0.115954698498083,0.297828901073772,0.620851141252613,0.554123517525726,0.691657545963155,0.379148858747387,0.308342454029123,0.445876482220602,"OK",0.212366544600225,0.0852166694988145,0.254299750202821
"oralCavity_OPHW_interPM2Height_interPM2Dist_HWRatio",90,"OPHW",340,9,1251,1242,822.644296320168,-3932.90616075171,3306.64429632017,"OK","ACE","C","familiality","corrected",0.505355717000795,0.29586115825904,0.194026816561714,0,0.32836001559983,-0.96847265200131,0.309800207351756,0.0399971832256482,NA,0.29208380268308,-1.95564555374222,0.83319554700996,0.229064201968207,NA,0.32591202878949,38.9020674960711,1.60051728791198e-10,0.418984581827301,2.75912809146888e-30,0.662929570126038,0.0863705511693426,1.16509387152435e-31,0.595557900965729,0.505355132996644,0.32966242624539,0.662777885863124,0.494644867003356,0.337222113972109,0.670337573940519,0.202015315014383,2.00342306246326e-40,0.325818209876273,0.0416439526875777,NA,0.291792060757798,0.243659267701961,0.158492017611625,0.325945650564875,0.238495264413139,0.156368659932086,0.332509088517755,0.5178454678849,0.458254825539438,0.581825387408613,0.4821545321151,0.41817461258812,0.541745173956641,"OK",0.312664666789545,0.154368691212656,0.316591951153778
"oralCavity_OPLW_interPM2Dist_interPM2HPADist_WLRatio",96,"OPLW",340,9,1250,1241,779.610217411418,-3972.11129404285,3261.61021741142,"OK","ACE","C","familiality","corrected",0.442159624609509,0.365403110298577,0.0692421861163529,0,0.289731873455676,-1.86209790715839,0.710375587618921,0.130194191681513,1.25380943100945e-40,0.277991592392054,-1.49324685459351,0.476547782655024,0.251614282107235,0.167774383204221,0.350637315550231,44.7479338098583,8.07300089406264e-12,0.153513102344027,4.38279875137071e-37,0.607042616379826,0.288646494185167,1.70072809110393e-30,0.578324429913881,0.442159596529194,0.264965783483176,0.609181611220871,0.557840403470806,0.390818387209873,0.735034214892805,0.0746994115406145,5.02276750018968e-28,0.299616714897671,0.140455263620254,7.0723433162151e-37,0.286293556281928,0.215154675160868,0.127805690359104,0.301243736613223,0.271444907545831,0.182924760776686,0.368768983137154,0.5134004172933,0.453550475415349,0.577779852984487,0.4865995827067,0.422220147019619,0.546449524851761,"OK",0.290367071734704,0.247944214983755,0.0848457135018982
"oralCavity_OPMR_interPM2Dist_interM2Dist_ratio",100,"OPMR",340,9,1259,1250,752.285684282133,-4033.89633773063,3252.28568428213,"OK","ADE","D","broad sense heritability","corrected",0.562501796606685,0.256008443424594,0.250539605654732,0,0.405217183603343,-1.67961586563615,0.571376885690881,0.0548114910078819,NA,0.402909421735247,-1.9839236580392,0.899104619774116,0.23749369675426,0.163263506036727,0.327557526025985,52.9913759676006,1.21059848659892e-13,0.46153082555649,NA,0.688229284857507,0.100970833049494,8.51421575528689e-30,0.688511581216534,0.562501658605983,0.415518513561518,0.691097091943714,0.437498341394017,0.308902908298081,0.584481442204462,0.258653647899048,2.53159767703192e-40,0.39398525830986,0.0565866305206535,NA,0.393136084487325,0.315240278419702,0.231230351121676,0.395300568508549,0.245185230726252,0.173026358576022,0.331985547124025,0.439574490854046,0.386678161168644,0.497145588153342,0.560425509145954,0.502854412197852,0.613321838867996,"OK",0.354024291424901,0.105987061455225,0.496074459939352
"pharynx_PNNP_nsp_nasopharynx_distance",35,"PNNP",340,9,1259,1250,380.565472109006,-4405.61654990375,2880.56547210901,"OK","ADE","D","broad sense heritability","corrected",0.822871021459181,0.209972944393312,0.0124043079136969,NA,0.670816110995241,-1.99900701779097,0.974861525150719,0.586992244523468,4.21638254969375e-45,0.722604142431758,0.554740569195928,0.109963863810465,0.129024337190777,NA,0.182639419266191,44.4074144340743,9.60513663594498e-12,0.0170290392413549,NA,0.854620924066412,0.805842134515511,9.60719860215863e-11,0.883110222953559,0.822871173756866,0.747728929852883,0.883308320417409,0.177128826243134,0.116691679783172,0.252271070178697,0.0126579035959913,NA,0.643265687335649,0.598992809148851,1.40668426166582e-18,0.667851728614784,0.611650712744842,0.54719753120947,0.667952245109444,0.131662131661063,0.0864733264259856,0.187337330511678,0.256687155594095,0.220567662034655,0.296929330810434,0.743312844405905,0.703070669191398,0.779432337805893,"OK",0.63988377508388,0.1955107100947,0.88874612997836
"pharynx_PPW2_pharynxWall_toC2Projection_meanCurvature",37,"PPW2",340,9,1240,1231,1001.56847769682,-3711.86357758135,3463.56847769682,"OK","ADE","D","broad sense heritability","corrected",0.746253439571546,0.0112302532949155,1.9729964957557e-11,NA,0.140151844607959,-2.00000000072305,1,0.0740436526749121,0,0.148236929981198,-1.74330187949272,0.612397719398287,0.0275427476492514,NA,0.132311996993446,-1.6823372132867,0.573015621515647,1.94218565583252e-10,NA,1,0.728873672305123,1.27111069970097e-30,1,0.728873672499342,1.92857458724431e-30,1,0.271126327500658,3.05015873387401e-31,1,2.04443578336995e-11,NA,0.141835720156149,0.0767246639239595,7.41070293258372e-11,0.149850728809081,0.0767246639444039,7.41072098309445e-11,0.149850728600445,0.0285400298417105,NA,0.135812048134574,0.894735306213886,0.815904076883117,0.965058075895619,0.105264693786114,0.0348685522147342,0.184095908156707,"OK",0.167998767703289,0.105090019473366,0.125817496459847
"pharynx_PPW3_pharynxWall_toC3Projection_meanCurvature",38,"PPW3",340,9,1246,1237,961.592678794377,-3774.81305018945,3435.59267879438,"OK","ADE","D","broad sense heritability","corrected",0.363483081883203,-0.00370054227902187,1.22284972816186e-11,NA,0.132188977458261,-2.00000000004275,1,0.0658014350323785,0,0.13737372016053,-1.85127749001913,0.699759174845417,0.11803223103858,NA,0.219767365629754,5.02199780153614,0.00805143488497136,6.65193571023331e-11,NA,0.749878108882864,0.357940068510641,2.54927637940033e-30,0.755899087272238,0.357940068577161,3.35364874998789e-29,0.751511341111528,0.642059931422839,0.248480387394066,0.999999999999602,1.29697905264883e-11,NA,0.137269768129932,0.0697903273851254,1.51450661129848e-37,0.142630777720832,0.0697903273980952,2.22772388604797e-24,0.142630777809003,0.125187361675713,0.0307639262912415,0.228781465646203,0.805022310926192,0.729346962776696,0.882975790835444,0.194977689073808,0.117024208875631,0.270653031913646,"OK",0.168003061170726,0.0169075490608412,0.302191024219769
"pharynx_PPW4_pharynxWall_toC4Projection_meanCurvature",39,"PPW4",340,9,1245,1236,826.753099759208,-3905.82368360701,3298.75309975921,"OK","ACE","C","familiality","corrected",0.461236991959803,0.410461597240461,0.0266346232593778,NA,0.195352555729902,-1.9700245606914,0.862545970165108,0.094338121218854,0,0.186914603945996,-1.58252980014777,0.518202072115513,0.141306199380568,NA,0.22956022714931,11.4870699712078,0.000240212997161702,0.101550749242443,NA,0.709811115750118,0.359686217394721,4.75636700424801e-31,0.692223373041906,0.461236966637164,0.212038064446088,0.724889866965026,0.538763033362836,0.275110130004486,0.787961935880831,0.0303902502406723,NA,0.215992295578401,0.107640310251673,1.03177583864481e-28,0.206563429047727,0.138030560492345,0.0637303574592318,0.21680025976342,0.161231143309744,0.0716927615887141,0.256834251307784,0.70073829619791,0.629765600711297,0.774982140564438,0.29926170380209,0.225017860053711,0.37023439913062,"OK",0.287615600820055,0.127153191353593,0.320924818932923
"pharynx_PPW5_pharynxWall_toC5Projection_meanCurvature",40,"PPW5",340,9,1245,1236,718.954108701246,-4013.62267466497,3190.95410870125,"OK","ACE","C","familiality","corrected",0.527976617226044,0.517632183930673,0.00578699518249468,NA,0.21609751710112,-1.99824661846287,0.966599622379266,0.141907223143497,1.56914326951733e-42,0.215095693854207,-0.859800930688834,0.285610267105305,0.132042234589644,NA,0.209956414203784,12.5900415169326,0.000133618803790102,0.0206873116541588,NA,0.741856832993584,0.507288991707828,1.08924651296211e-32,0.733616525219405,0.527976303361987,0.314023856445538,0.757338673932798,0.472023696638013,0.242661323874222,0.685976176895537,0.00704773710988652,NA,0.254779170762932,0.172822815843132,1.68423484250948e-16,0.251671901709167,0.179870552953019,0.107028965687184,0.259835695188829,0.160808662776285,0.0739769326555914,0.250663219574166,0.659320784270696,0.589911277103328,0.732501242305633,0.340679215729304,0.26749875768722,0.410088722893794,"OK",0.41052259629791,0.238068760055246,0.344907672485329
