"phenotype_number","phenotype_name","phenotype_name_short","AIC_1r","AIC_2r","deltaAIC","p","statusCode_2r","statusCode_1r"
18,"larynx_L2EP_c2base_epiglottisPetiole_distance","L2EP",3037.93156325277,3039.24663781588,-1.31507456310374,0.407895809804118,"OK","OK"
19,"larynx_L2EA_c2base_epiglottisApex_distance","L2EA",3029.7796729829,3028.60730672309,1.17236625980604,0.0748938667379831,"OK","OK"
20,"larynx_L3CT_c3base_corniculateTubercle_distance","L3CT",3035.83429796967,3037.76163510103,-1.92733713136067,0.787498384314958,"OK","OK"
21,"larynx_L3EP_c3base_epiglottisPetiole_distance","L3EP",3214.03019106435,3215.08593257596,-1.05574151161045,0.331185068399025,"OK","OK"
22,"larynx_L3EA_c3base_epiglottisApex_distance","L3EA",2960.72059274771,2962.70150661169,-1.98091386397846,0.890119829419254,"OK","OK"
23,"larynx_L4CT_c4base_corniculateTubercle_distance","L4CT",3380.98498413045,3382.93301359281,-1.94802946236223,0.819669193439149,"OK","OK"
24,"larynx_L4EP_c4base_epiglottisPetiole_distance","L4EP",3372.79441093392,3374.40728315509,-1.61287222117244,0.533813040086696,"OK","OK"
25,"larynx_L4EA_c4base_epiglottisApex_distance","L4EA",2942.222214605,2943.97977991665,-1.75756531165143,0.622453158309289,"OK","OK"
26,"larynx_L5CT_c5base_corniculateTubercle_distance","L5CT",2983.57882414693,2985.37190058394,-1.79307643700849,0.64918944438499,"OK","OK"
27,"larynx_L5EP_c5base_epiglottisPetiole_distance","L5EP",3144.98622555256,3146.82976570397,-1.84354015140661,0.692436986005024,"OK","OK"
28,"larynx_L5EA_c5base_epiglottisApex_distance","L5EA",2976.19165407272,2977.93976743735,-1.74811336463199,0.615749761326088,"OK","OK"
29,"larynx_LNCT_nsp_corniculateTubercle_distance","LNCT",2513.02401166411,2514.6623207819,-1.63830911778723,0.547568659243439,"OK","OK"
30,"larynx_LNEP_nsp_epiglottisPetiole_distance","LNEP",2729.8283466307,2731.81622977653,-1.98788314582771,0.912348639172956,"OK","OK"
31,"larynx_LNEA_nsp_epiglottisApex_distance","LNEA",2857.7468065129,2859.73040110709,-1.98359459418634,0.898082823019885,"OK","OK"
32,"larynx_LHCT_hyoidale_corniculateTubercle_distance","LHCT",2958.2982204658,2959.54630003694,-1.2480795711449,0.385868891959516,"OK","OK"
